iter	AUC	CrossEntropy	AUC
233	0.9573608807	0.5771254605	0.9573608807
234	0.957287068	0.5768549824	0.957287068
235	0.9572940978	0.5764241158	0.9572940978
236	0.9573784551	0.5759618067	0.9573784551
237	0.9573608807	0.5755615063	0.9573608807
238	0.9574557827	0.5751128396	0.9574557827
239	0.9574311785	0.574761861	0.9574311785
240	0.9574663274	0.5744148585	0.9574663274
241	0.9574241487	0.5740435644	0.9574241487
242	0.9574171189	0.5736968203	0.9574171189
243	0.9572905829	0.5733123972	0.9572905829
244	0.9572589489	0.5728611153	0.9572589489
245	0.9571816213	0.5724570535	0.9571816213
246	0.957350336	0.5720733979	0.957350336
247	0.9572905829	0.5717233443	0.9572905829
248	0.9573011276	0.5713804136	0.9573011276
249	0.9572940978	0.5709688708	0.9572940978
250	0.9571886511	0.5705940133	0.9571886511
251	0.9571570171	0.5703025254	0.9571570171
252	0.9571359278	0.5700139653	0.9571359278
253	0.9570621151	0.5696814601	0.9570621151
254	0.9571007789	0.56933696	0.9571007789
255	0.9571745916	0.5689884093	0.9571745916
256	0.9570058769	0.5686631789	0.9570058769
257	0.9571675618	0.5683045194	0.9571675618
258	0.9571078087	0.5679015017	0.9571078087
259	0.9571394427	0.5674396829	0.9571394427
260	0.9571781065	0.5670175113	0.9571781065
261	0.9572132553	0.566629452	0.9572132553
262	0.9571394427	0.566348538	0.9571394427
263	0.9570586002	0.565955556	0.9570586002
264	0.9570867193	0.5656377024	0.9570867193
265	0.9570093918	0.5652947872	0.9570093918
266	0.9570199365	0.5650176314	0.9570199365
267	0.9572167702	0.5645043491	0.9572167702
268	0.9571675618	0.5640941456	0.9571675618
269	0.9571078087	0.5636960924	0.9571078087
270	0.9571675618	0.5632846652	0.9571675618
271	0.9571042938	0.562930636	0.9571042938
272	0.9571148385	0.5624698287	0.9571148385
273	0.9571253831	0.5621675354	0.9571253831
274	0.9571570171	0.5617947252	0.9571570171
275	0.9572659787	0.5613434352	0.9572659787
276	0.9573468211	0.5609116615	0.9573468211
277	0.9573643956	0.5605155291	0.9573643956
278	0.9574241487	0.5601407523	0.9574241487
279	0.9575541996	0.5596223895	0.9575541996
280	0.9575682591	0.5591437716	0.9575682591
281	0.9575049911	0.5588650153	0.9575049911
282	0.9575998931	0.5584268865	0.9575998931
283	0.957508506	0.558075164	0.957508506
284	0.9575577145	0.5576651107	0.9575577145
285	0.9575788038	0.5573124183	0.9575788038
286	0.9575577145	0.5569607853	0.9575577145
287	0.9575612294	0.5566146385	0.9575612294
288	0.9577686078	0.5561148228	0.9577686078
289	0.9577053398	0.5557844042	0.9577053398
290	0.9576772207	0.555473507	0.9576772207
291	0.9575963783	0.5551491369	0.9575963783
292	0.9576526165	0.5548120427	0.9576526165
293	0.9577861823	0.5543235301	0.9577861823
294	0.9579935607	0.5538178179	0.9579935607
295	0.9580005905	0.5535538776	0.9580005905
296	0.9579970756	0.5531761614	0.9579970756
297	0.9580392543	0.5528033568	0.9580392543
298	0.958113067	0.5524580615	0.958113067
299	0.9580322245	0.5522060608	0.9580322245
300	0.958144701	0.5517880464	0.958144701
301	0.9580251947	0.5514818467	0.9580251947
302	0.9582606923	0.5509786866	0.9582606923
303	0.9583099007	0.55057935	0.9583099007
304	0.9583801985	0.5500896693	0.9583801985
305	0.9583626241	0.5497509966	0.9583626241
306	0.9584118325	0.5493935725	0.9584118325
307	0.9584540112	0.5490682014	0.9584540112
308	0.958461041	0.5487209604	0.958461041
309	0.9585137643	0.5483964019	0.9585137643
310	0.958334505	0.5480851342	0.958334505
311	0.9582888114	0.547809245	0.9582888114
312	0.9583063859	0.5474870449	0.9583063859
